layer,avg,nfilters
conv1,0.171288608666,64
res2a,0.203064885891,256
res2b,0.188446411895,256
res2c,0.207307845087,256
res3a,0.311627290395,512
res3b,0.162253837317,512
res3c,0.132985703049,512
res3d,0.207151298346,512
res4a,0.370164449073,1024
res4b,0.168088824606,1024
res4c,0.122218808572,1024
res4d,0.0831988483137,1024
res4e,0.0816093391105,1024
res4f,0.137888406934,1024
res5a,0.428899613187,2048
res5b,0.501161241742,2048
res5c,259.563431018,2048
fc1000,445989.880936,1000
