layer,avg,nfilters
conv1,1011217682.55,64
conv2,201.882815295,192
inception-3a,25.914895634,224
inception-3b,20.9807468199,416
inception-4a,21.8250152409,448
inception-4b,41.1511399229,448
inception-4c,26.2422484598,464
inception-4d,6.99352788235,704
inception-4e,25.9229227428,704
inception-5a,45.9966441889,704
inception-5b,40.9658654401,896
loss3-classifier,696984.646776,1000
