Full Name, Network, Real Name, Batch Size, Multiply-Acc., Param., Top-1 Acc., Top-5 Acc., GPU Forward, CPU Forward
2 (s), 2, msrc-googlenet-initfixfinal-bn-root2-convonly, 32, 1542916136, 18754280, 0.694919, 0.893482, 139.792, 9127.38
4 (s), 4, msrc-googlenet-initfixfinal-bn-root4-convonly, 32, 1291032616, 18515944, 0.693099, 0.892362, 131.044, 8726.71
8 (s), 8, msrc-googlenet-initfixfinal-bn-root8-convonly, 32, 964383656, 17504744, 0.690779, 0.890502, 118.917, 7876.52
16 (s), 16, msrc-googlenet-initfixfinal-bn-root16-convonly, 32, 756887912, 16308968, 0.68258, 0.885803, 114.849, 6623.61
