name, real name, ma, param, accuracy
2, msrc-cifar-nin-4pad-funnel2-convonly0.5, 147776906, 721226, 0.9161
4, msrc-cifar-nin-4pad-funnel4-convonly0.5, 102950282, 421706, 0.9166
8, msrc-cifar-nin-4pad-funnel8-convonly0.5, 58910090, 219722, 0.9013
