layer,avg,nfilters
conv1/7x7_s2,1242994401.42,64
conv2/3x3,555.593644342,192
inception_3a/output,49.9498562537,224
inception_3b/output,108.714553891,416
inception_4a/output,69.7849713145,448
inception_4b/output,82.1849129986,448
inception_4c/output,43.5759339051,464
inception_4d/output,22.408290567,704
inception_4e/output,64.993734103,704
inception_5a/output,43.8476832737,704
inception_5b/output,46.989755591,896
loss3/classifier,1988645.29637,1000
