layer,avg,nfilters
conv1,1441789.02644,192
conv2,8.15019507989e+15,160
conv3,4.97144319525e+25,96
conv4,1.48228138496e+35,192
conv5,1.25569076619e+45,192
conv6,1.15375646781e+55,192
conv8,5.91107079242e+64,192
conv9,7.17632461822e+74,192
conv10,3.27696404567e+84,10
