full name, name, real name, param, ma, top1, top5
root-2, 2, resnet-200-root-2-fixed-run2, 62396584, 5642524822504, 0.21678, 0.05917
root-4, 4, resnet-200-root-8-fixed, 60599464, 5459405704168, 0.21938, 0.06072
root-8, 8, resnet-200-root-8-fixed, 49084072, 4835135982568, 0.22048, 0.06260
root-16, 16, resnet-200-root-16-fixed-run2, 39787432, 4434216094696, 0.21865, 0.06014
root-32, 32, resnet-200-root-32-fixed, 35139112, 4233756150760, 0.22074, 0.06303
root-64, 64, resnet-200-root-64-fixed-run2, 32814952, 4133526178792, 0.22100, 0.06041
