name, real name, ma, param, accuracy
2, msrc-cifar-nin-4pad-tree2, 210691466, 782666, 0.4483
4, msrc-cifar-nin-4pad-tree4, 136373642, 423242, 0.539
8, msrc-cifar-nin-4pad-tree8, 75621770, 220490, 0.8953
16, msrc-cifar-nin-4pad-tree16, 45245834, 119114, 0.8851
