layer,avg,nfilters
conv1,0.0174442791405,192
conv2,0.00205205372171,160
conv3,0.00107024206243,96
conv4,0.00837882929397,192
conv5,0.00107828406004,192
conv6,0.000209502618112,192
conv8,0.0133641325874,192
conv9,0.00140404748536,192
conv10,184.719903806,10
