layer,avg,nfilters
conv1,0.0842976197764,192
conv2,0.00745425375397,160
conv3,0.00288674057514,96
conv4,0.0182729190961,192
conv5,0.00334090652769,192
conv6,0.000759379315943,192
conv8,0.0136545682861,192
conv9,0.00318220991964,192
conv10,212.780523085,10
