layer,avg,nfilters
conv1,0.0174758743601,192
cccp1,0.0020553530172,160
cccp2,0.00107137426116,96
conv2,0.00835308298607,192
cccp3,0.00107629111343,192
cccp4,0.000208428080964,192
conv3,0.0132953439128,192
cccp5,0.00139700690766,192
cccp6,184.301680091,10
