layer,avg,nfilters
conv1/7x7_s2,135288569.162,64
conv2/3x3,19.4545294861,192
inception_3a/output,19.754792131,224
inception_3b/output,9.54279627383,416
inception_4a/output,9.57118616197,448
inception_4b/output,25.4733642329,448
inception_4c/output,18.3464994605,464
inception_4d/output,2.59846150604,704
inception_4e/output,14.2843921556,704
inception_5a/output,37.1434809598,704
inception_5b/output,62.4070833023,896
loss3/classifier,550040.501001,1000
