name, real name, ma, param, accuracy
2, msrc-cifar-nin-4pad-column2, 118678922, 492362, 0.5654
4, msrc-cifar-nin-4pad-column4, 66774410, 255050, 0.5669
8, msrc-cifar-nin-4pad-column8, 40822154, 136394, 0.6533
16, msrc-cifar-nin-4pad-column16, 27846026, 77066, 0.6243
