layer,avg,nfilters
conv1,2.26990724143,192
conv2,0.176332559568,160
conv3,0.0121419025951,96
conv4,0.260795849887,192
conv5,0.136489417226,192
conv6,0.10794569104,192
conv8,0.581880336209,192
conv9,0.874829051891,192
conv10,21.3019382914,10
