name, real name, ma, param, accuracy
2, msrc-cifar-nin-4pad-do-funnel2-convonly, 163505546, 736586, 0.9243
4, msrc-cifar-nin-4pad-do-funnel4-convonly, 102950282, 421706, 0.9199
8, msrc-cifar-nin-4pad-do-funnel8-convonly, 103343498, 314954, 0.6201
