Full Name, Network, Real Name, Multiply-Acc., Param., Top-1 Acc., Top-5 Acc., GPU Forward, CPU Forward
8 (h), 8, msrc-resnet-50-root8-ningroup1, 2375975976, 22807272, nan, nan, nan, 5077.26
16 (h), 16, msrc-resnet-50-root16-ningroup1, 1440695336, 16365032, nan, nan, nan, 4051.5
