layer,avg,nfilters
conv1/7x7_s2,1426164708.38,64
conv2/3x3,467.310795652,192
inception_3a/output,59.3698782309,224
inception_3b/output,141.197891384,416
inception_4a/output,123.569885835,448
inception_4b/output,114.124473667,448
inception_4c/output,60.7699769541,464
inception_4d/output,44.5246107539,704
inception_4e/output,93.8066913948,704
inception_5a/output,69.7249323802,704
inception_5b/output,383.361924823,896
loss3/classifier,2465553.24621,1000
