Full Name, Network, Real Name, Batch Size, Multiply-Acc., Param., Top-1 Acc., Top-5 Acc., GPU Forward, CPU Forward
2, 2, msrc-resnet-50-root2, 10, 3524002856, 25397480, 0.46312, 0.72662, 116.452, 5909.87
4, 4, msrc-resnet-50-group4, 10, 2881750056, 24738024, 0.70306, 0.899, 107.927, 5353.44
8, 8, msrc-resnet-50-group8, 10, 1866990632, 20869352, 0.69104, 0.89222, 95.3743, 4786.93
