layer,avg,nfilters
conv1,0.451956817836,64
res2a,12.1851800523,256
res2b,13.5738189911,256
res2c,13.1471171117,256
res3a,21.2727039642,512
res3b,18.7530427174,512
res3c,17.4362613782,512
res3d,19.4340075232,512
res4a,28.5149577711,1024
res4b,28.453874973,1024
res4c,38.4391680364,1024
res4d,42.4191235163,1024
res4e,48.7394235587,1024
res4f,50.9205986443,1024
res5a,7.6571095771,2048
res5b,8.13741723897,2048
res5c,6.43417178805,2048
fc1000,16216.9530478,1000
