name, real name, ma, param, accuracy
2, msrc-cifar-nin-4pad-funnel2, 198894986, 943946, 0.5947
4, msrc-cifar-nin-4pad-funnel4, 118678922, 665162, 0.9083
8, msrc-cifar-nin-4pad-funnel8, 66774410, 341450, 0.8986
16, msrc-cifar-nin-4pad-funnel16, 40822154, 179594, 0.5049
