layer,avg,nfilters
conv1,0.617007537778,64
res2a,1.36636166651,256
res2b,1.42731822029,256
res2c,1.43351881307,256
res3a,1.09144209796,512
res3b,0.82654203144,512
res3c,0.73732842465,512
res3d,0.914584299903,512
res4a,0.971830504718,1024
res4b,0.632421322925,1024
res4c,0.564725466885,1024
res4d,0.470047605527,1024
res4e,0.423832856126,1024
res4f,0.386070235594,1024
res5a,48.6251247961,2048
res5b,117.066581235,2048
res5c,181.127471555,2048
fc1000,1016700.96566,1000
