layer,avg,nfilters
conv1,0.492294581012,64
res2a,2.17687487393,256
res2b,2.1060197001,256
res2c,2.08410046827,256
res3a,1.88151154611,512
res3b,1.33540010794,512
res3c,1.20086152423,512
res3d,1.37169337428,512
res4a,1.36748348688,1024
res4b,1.00014722503,1024
res4c,0.887959009626,1024
res4d,0.791321383783,1024
res4e,0.793229438126,1024
res4f,0.75469190283,1024
res5a,36.0738272025,2048
res5b,78.9347062761,2048
res5c,112.61338841,2048
fc1000,714603.568037,1000
