Network, Real Name, Multiply-Acc., Test Param., Top-1 Acc., Top-5 Acc.
GoogLeNet, GoogLeNet, 1591056680, 5973552, 0.676539, 0.882521
lr, msrc-googlenet-sf, 1178239528, 3503664, 0.6725, 0.87956
lr-conv1, msrc-googlenet-sf-conv1sf, 837542440, 3421872, 0.659399, 0.869622
