1, -0.271783322096, -0.271783322096, 0.0, 0, 1, 0
2, -0.361649990082, 0.0, 0.156599029899, 1, 4, 0
3, -0.622833311558, -0.450749993324, 0.0740580633283, 0, 9, 0
4, -0.69903331995, -0.290216684341, 0.100081346929, 0, 16, 0
5, -0.790750026703, -0.264100015163, 0.116150811315, 0, 25, 0
6, -0.692933320999, 0.0, 0.183418735862, 4, 36, 0
7, -0.761816680431, 0.0, 0.152904704213, 1, 49, 0
8, -0.578466653824, -1.66694317159e-05, 0.123145245016, 0, 64, 0
9, -0.680000007153, -0.130899980664, 0.105930536985, 0, 81, 0
10, -0.769100010395, -0.0242833290249, 0.176780924201, 0, 100, 0
11, -0.584766685963, -1.66594982147e-05, 0.146399408579, 0, 121, 0
12, -0.628733336926, 0.0, 0.143244579434, 1, 144, 0
13, -0.713566660881, -5.00082969666e-05, 0.142142295837, 0, 169, 0
14, -0.543666660786, -0.00821665953845, 0.130636110902, 0, 196, 0
15, -0.591849982738, 0.0, 0.138994708657, 9, 225, 0
16, -0.549883365631, 0.0, 0.107525587082, 4, 256, 0
17, -0.550083339214, 0.0, 0.118492484093, 1, 289, 0
18, -0.592083334923, 0.0, 0.146640881896, 4, 324, 0
19, -0.586266696453, 0.0, 0.132861301303, 6, 361, 0
22, -0.488633334637, 0.0, 0.0924575477839, 9, 484, 0
23, -0.358616679907, 1.66694317159e-05, 0.0735700502992, 4, 524, 5
24, -0.349250018597, 0.0, 0.0562824234366, 1, 576, 0
25, -0.429933339357, 5.00082969666e-05, 0.0836161002517, 1, 622, 3
26, -0.310733348131, 0.0, 0.0470674820244, 1, 676, 0
27, -0.359183311462, 0.0, 0.0680661648512, 4, 729, 0
28, -0.335533350706, 1.66495647136e-05, 0.0578946657479, 4, 779, 5
29, -0.359816670418, 6.66677951813e-05, 0.0676568523049, 9, 834, 7
32, -0.29661667347, 0.0, 0.0676495656371, 9, 1024, 0
41, -0.212000012398, 3.33189964294e-05, 0.0359349548817, 3, 1671, 10
42, -0.280083328485, 0.0, 0.0501840561628, 36, 1764, 0
43, -0.213566675782, 0.0, 0.0319624729455, 9, 1849, 0
50, -0.15395000577, 0.000249981880188, 0.0219084769487, 25, 2464, 36
60, -0.10814999789, 3.33388634317e-05, 0.0136941419914, 16, 3567, 33
