Network Name,Real Name,Stride,Top-1 A (centre crop),Top-1 Error (centre crop),Top-5 A (centre crop),Top-5 Error (centre crop),Top-1 A (10x OS),Top-1 Error (10x OS),Top-5 A (10x OS),Top-5 Error (10x OS),Multiply-Acc Ops,Num Parameters,Iteration
Alexnet,bvlc_alexnet,4,0.57258,0.42742,0.802,0.198,0.5863,0.4137,0.81206,0.18794,724417384,60965224,
Network In Network,nin,4,0.563339,0.436661,0.794081,0.205919,0.57618,0.42382,0.79998,0.20002,1100194056,7595176,
