layer,MA,param
conv1-1,86704192,1792
conv2-1,924844160,73856
conv3-1,924844288,295168
conv3-2,1849688320,590080
conv4-1,924844544,1180160
conv4-2,1849688576,2359808
conv5-1,462422528,2359808
conv5-2,462422528,2359808
fc6,102764544,102764544
fc7,16781312,16781312
fc8,4097000,4097000
